ID	CanonID	Title	TitleTemp	Filename	Jahr	Date	Authors	Place	Caption	Camera	Nix
6620	73	2004CG_0073-FootprintsinSand.jpg	2004CG_0073-FootprintsinSand.jpg	2004CG_0073-FootprintsinSand.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6621	74	2004CG_0074-BeachLongPoint.jpg	2004CG_0074-BeachLongPoint.jpg	2004CG_0074-BeachLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6622	75	2004CG_0075-BeachLongPoint.jpg	2004CG_0075-BeachLongPoint.jpg	2004CG_0075-BeachLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6623	76	2004CG_0076-BeachLongPoint.jpg	2004CG_0076-BeachLongPoint.jpg	2004CG_0076-BeachLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6624	77	2004CG_0077-BeachLongPoint.jpg	2004CG_0077-BeachLongPoint.jpg	2004CG_0077-BeachLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6625	78	2004CG_0078-BeachLongPoint.jpg	2004CG_0078-BeachLongPoint.jpg	2004CG_0078-BeachLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6626	79	2004CG_0079-SunsetLongPoint.jpg	2004CG_0079-SunsetLongPoint.jpg	2004CG_0079-SunsetLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6627	80	2004CG_0080-SunsetLongPoint.jpg	2004CG_0080-SunsetLongPoint.jpg	2004CG_0080-SunsetLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6628	81	2004CG_0081-LongPoint.jpg	2004CG_0081-LongPoint.jpg	2004CG_0081-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6629	82	2004CG_0082-LongPoint.jpg	2004CG_0082-LongPoint.jpg	2004CG_0082-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6630	83	2004CG_0083-Miriam-LongPoint.jpg	2004CG_0083-Miriam-LongPoint.jpg	2004CG_0083-Miriam-LongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6631	84	2004CG_0084-Ulli-LongPoint.jpg	2004CG_0084-Ulli-LongPoint.jpg	2004CG_0084-Ulli-LongPoint.jpg	2004		Miriam Garfinkle	Long Point		Canon G5	
6632	85	2004CG_0085-BoathousesLongPoint.jpg	2004CG_0085-BoathousesLongPoint.jpg	2004CG_0085-BoathousesLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6633	86	2004CG_0086-BoathousesLongPoint.jpg	2004CG_0086-BoathousesLongPoint.jpg	2004CG_0086-BoathousesLongPoint.jpg	2004		Ulli Diemer	Long Point		Canon G5	
6634	87	2004CG-0087-CondoKitchenArea.jpg	2004CG-0087-CondoKitchenArea.jpg	2004CG-0087-CondoKitchenArea.jpg	2004		Ulli Diemer	Ulli's condo		Canon G5	
6635	88	2004CG-0088-MikeSzyjewiczinCondo.jpg	2004CG-0088-MikeSzyjewiczinCondo.jpg	2004CG-0088-MikeSzyjewiczinCondo.jpg	2004		Ulli Diemer	Ulli's condo		Canon G5	
6636	89	2004CG-0088-Szyjewicz.jpg	2004CG-0088-Szyjewicz.jpg	2004CG-0088-Szyjewicz.jpg	2004		Ulli Diemer	Ulli's condo		Canon G5	
6637	90	2004CG-0089-MikeSzyjewiczCondo.jpg	2004CG-0089-MikeSzyjewiczCondo.jpg	2004CG-0089-MikeSzyjewiczCondo.jpg	2004		Ulli Diemer	Ulli's condo		Canon G5	
